Event_ID,User_ID,Event_Date,Event_Type,Platform,Session_Duration_Sec
1,1085,2025-12-22,Deposit,Android,455
2,1210,2025-10-19,Deposit,Web,419
3,1139,2026-04-30,Deposit,Web,272
4,1027,2026-01-20,Login,iOS,440
5,1344,2026-04-30,Login,Android,518
6,1233,2025-07-30,Login,Android,436
7,1171,2026-04-16,Deposit,Android,379
8,1178,2026-04-24,View_Statement,Android,189
9,1354,2026-04-21,Login,iOS,124
10,1020,2026-04-23,View_Portfolio,Android,541
11,1397,2026-05-01,Login,Android,130
12,1303,2026-04-29,View_Portfolio,iOS,45
13,1264,2026-01-01,Deposit,iOS,12
14,1485,2026-03-29,Login,Android,56
15,1197,2026-03-23,Withdrawal,iOS,149
16,1327,2026-03-28,Deposit,Android,234
17,1064,2026-02-03,Login,iOS,596
18,1044,2026-03-08,Login,iOS,40
19,1244,2025-12-30,Login,Web,258
20,1012,2025-09-19,View_Portfolio,Android,206
21,1361,2026-04-29,View_Statement,iOS,120
22,1260,2025-11-28,Login,Android,325
23,1296,2025-12-22,Deposit,Android,86
24,1403,2026-04-02,Login,iOS,541
25,1438,2026-04-09,Login,Web,532
26,1257,2026-04-04,Deposit,iOS,371
27,1375,2026-04-28,Withdrawal,Web,568
28,1235,2025-06-27,Login,iOS,571
29,1247,2025-10-10,View_Portfolio,Android,226
30,1141,2026-04-05,Login,Android,416
31,1306,2025-10-25,View_Portfolio,Web,455
32,1181,2026-03-02,Deposit,iOS,62
33,1500,2026-03-01,Login,iOS,360
34,1426,2025-08-02,Withdrawal,Android,312
35,1365,2025-10-26,Login,iOS,539
36,1153,2025-08-31,Login,Web,332
37,1044,2026-02-16,Login,iOS,118
38,1109,2026-03-04,Login,Android,262
39,1098,2026-04-22,Login,Android,104
40,1227,2026-01-10,Deposit,iOS,453
41,1445,2026-02-25,Login,Android,196
42,1081,2026-01-28,Login,Android,353
43,1218,2026-04-28,View_Statement,iOS,571
44,1149,2026-03-21,View_Portfolio,iOS,198
45,1435,2026-02-19,Login,iOS,133
46,1076,2026-04-03,Withdrawal,Android,575
