Transaction_ID,User_ID,Transaction_Date,Amount_USD,Transaction_Type,Product,Round_Up
1,1287,2026-04-29,157.77,Recurring Deposit,Invest,0.0
2,1259,2025-12-25,182.93,One-Time Deposit,Banking,0.0
3,1398,2026-04-13,14.6,Recurring Deposit,Banking,0.0
4,1330,2026-03-04,1.82,Round-Up,Banking,0.18
5,1423,2025-10-05,1.22,Round-Up,Invest,0.78
6,1203,2026-04-20,2.32,Round-Up,Invest,0.68
7,1043,2026-01-07,127.67,One-Time Deposit,Banking,0.0
8,1163,2026-04-30,-179.89,Withdrawal,Invest,0.0
9,1031,2026-05-03,18.04,Recurring Deposit,Invest,0.0
10,1316,2026-03-12,1.14,Round-Up,Banking,0.86
11,1204,2026-04-03,0.67,Round-Up,Invest,0.33
12,1059,2026-03-10,1.83,Round-Up,Banking,0.17
13,1215,2026-04-24,1.88,Round-Up,Invest,0.12
14,1151,2026-04-20,209.15,One-Time Deposit,Invest,0.0
15,1388,2025-08-28,-28.17,Withdrawal,Banking,0.0
16,1257,2025-12-07,-103.94,Withdrawal,Banking,0.0
17,1357,2026-01-27,53.87,Recurring Deposit,Invest,0.0
18,1256,2026-03-30,219.63,Recurring Deposit,Invest,0.0
19,1221,2026-05-01,177.71,One-Time Deposit,Invest,0.0
20,1478,2026-02-26,2.93,Round-Up,Banking,0.07
21,1152,2026-04-03,7.33,One-Time Deposit,Invest,0.0
22,1411,2025-12-20,76.36,One-Time Deposit,Invest,0.0
23,1007,2025-10-30,40.1,Recurring Deposit,Banking,0.0
24,1084,2025-11-11,2.23,Round-Up,Banking,0.77
25,1173,2026-04-27,2.14,Round-Up,Banking,0.86
26,1438,2026-04-11,0.89,Round-Up,Banking,0.11
27,1446,2026-02-16,-238.25,Withdrawal,Banking,0.0
28,1179,2025-11-02,1.89,Round-Up,Invest,0.11
29,1147,2025-12-09,6.39,Recurring Deposit,Banking,0.0
30,1125,2026-04-22,92.95,Recurring Deposit,Banking,0.0
31,1058,2026-01-06,2.5,Round-Up,Banking,0.5
32,1031,2026-05-04,127.3,One-Time Deposit,Invest,0.0
33,1103,2026-05-04,152.82,Recurring Deposit,Invest,0.0
34,1024,2026-03-18,240.34,One-Time Deposit,Invest,0.0
35,1431,2026-02-08,-221.87,Withdrawal,Invest,0.0
36,1371,2025-12-08,2.5,Round-Up,Banking,0.5
37,1364,2026-03-30,1.48,Round-Up,Banking,0.52
38,1344,2025-08-03,209.11,Recurring Deposit,Invest,0.0
39,1036,2025-11-22,206.96,Recurring Deposit,Banking,0.0
40,1326,2026-04-28,-72.47,Withdrawal,Invest,0.0
41,1043,2026-01-10,183.99,Recurring Deposit,Invest,0.0
42,1149,2026-04-06,-169.65,Withdrawal,Invest,0.0
43,1150,2025-11-30,121.01,Recurring Deposit,Invest,0.0
44,1246,2026-04-25,54.36,Recurring Deposit,Banking,0.0
45,1277,2026-03-31,222.72,One-Time Deposit,Invest,0.0
46,1059,2026-03-05,2.36,Round-Up,Banking,0.64
47,1067,2026-01-13,-46.4,Withdrawal,Banking,0.0
48,1004,2026-03-30,2.52,Round-Up,Banking,0.48
49,1252,2026-03-06,186.65,One-Time Deposit,Banking,0.0
50,1242,2026-04-05,1.8,Round-Up,Banking,0.2
51,1447,2026-01-26,59.6,One-Time Deposit,Banking,0.0
52,1218,2026-04-22,247.24,One-Time Deposit,Banking,0.0
53,1306,2025-12-07,2.83,Round-Up,Invest,0.17
54,1448,2026-03-19,152.17,Recurring Deposit,Invest,0.0
55,1146,2026-05-04,1.59,Round-Up,Banking,0.41
56,1353,2025-12-27,107.64,One-Time Deposit,Banking,0.0
57,1119,2025-07-19,1.62,Round-Up,Invest,0.38
58,1362,2025-05-22,1.84,Round-Up,Banking,0.16
59,1027,2026-01-04,2.99,Round-Up,Invest,0.01
60,1440,2026-03-03,126.77,Recurring Deposit,Banking,0.0
61,1428,2026-04-14,2.9,Round-Up,Banking,0.1
62,1469,2026-03-17,-6.8,Withdrawal,Invest,0.0
63,1410,2025-08-08,2.97,Round-Up,Banking,0.03
64,1179,2025-08-28,1.37,Round-Up,Invest,0.63
65,1070,2026-03-19,2.56,Round-Up,Invest,0.44
66,1175,2026-04-10,0.66,Round-Up,Invest,0.34
67,1119,2025-10-14,13.75,Recurring Deposit,Invest,0.0
68,1261,2026-03-31,171.65,Recurring Deposit,Invest,0.0
69,1068,2026-04-09,15.85,One-Time Deposit,Banking,0.0
70,1005,2026-02-02,2.05,Round-Up,Banking,0.95
71,1354,2026-04-19,2.4,Round-Up,Banking,0.6
72,1015,2026-02-04,28.46,One-Time Deposit,Invest,0.0
73,1245,2026-02-04,-144.17,Withdrawal,Invest,0.0
74,1044,2026-03-31,1.86,Round-Up,Invest,0.14
75,1058,2026-01-17,166.6,Recurring Deposit,Banking,0.0
76,1152,2026-05-01,0.35,Round-Up,Invest,0.65
77,1179,2025-10-01,0.33,Round-Up,Invest,0.67
78,1186,2026-04-29,248.15,One-Time Deposit,Invest,0.0
79,1437,2026-04-27,0.43,Round-Up,Invest,0.57
80,1103,2026-02-14,119.0,Recurring Deposit,Invest,0.0
81,1473,2026-03-29,1.08,Round-Up,Banking,0.92
82,1390,2026-04-29,146.7,Recurring Deposit,Invest,0.0
83,1079,2026-02-18,2.12,Round-Up,Invest,0.88
84,1458,2026-04-25,-211.55,Withdrawal,Banking,0.0
85,1262,2026-01-10,1.55,Round-Up,Banking,0.45
86,1322,2025-09-25,46.85,Recurring Deposit,Banking,0.0
87,1271,2026-03-14,30.01,Recurring Deposit,Banking,0.0
88,1131,2025-10-22,-24.09,Withdrawal,Invest,0.0
89,1477,2025-07-01,11.29,One-Time Deposit,Banking,0.0
90,1342,2025-10-22,18.48,Recurring Deposit,Banking,0.0
91,1231,2025-07-28,2.23,Round-Up,Invest,0.77
92,1307,2026-02-20,1.09,Round-Up,Banking,0.91
93,1190,2026-03-21,2.54,Round-Up,Banking,0.46
94,1341,2026-01-30,0.99,Round-Up,Banking,0.01
95,1213,2026-05-04,-60.4,Withdrawal,Banking,0.0
96,1352,2025-12-31,0.14,Round-Up,Banking,0.86
97,1091,2026-01-24,107.51,One-Time Deposit,Invest,0.0
98,1339,2025-08-31,81.06,One-Time Deposit,Invest,0.0
99,1191,2025-09-14,83.06,One-Time Deposit,Invest,0.0
100,1461,2025-10-05,114.09,Recurring Deposit,Banking,0.0
101,1198,2025-10-03,1.39,Round-Up,Invest,0.61
102,1378,2026-05-02,156.04,One-Time Deposit,Banking,0.0
103,1378,2026-05-01,2.1,Round-Up,Invest,0.9
104,1043,2025-11-15,-131.84,Withdrawal,Invest,0.0
105,1499,2025-08-10,120.78,Recurring Deposit,Banking,0.0
106,1491,2026-04-15,-57.29,Withdrawal,Invest,0.0
107,1303,2026-04-19,2.14,Round-Up,Banking,0.86
108,1253,2026-03-30,1.61,Round-Up,Invest,0.39
109,1294,2026-04-24,0.06,Round-Up,Invest,0.94
110,1178,2026-04-28,0.76,Round-Up,Invest,0.24
111,1149,2026-02-24,2.77,Round-Up,Invest,0.23
112,1094,2026-04-30,229.82,Recurring Deposit,Banking,0.0
113,1349,2026-04-21,2.4,Round-Up,Invest,0.6
114,1361,2026-02-25,46.11,One-Time Deposit,Banking,0.0
115,1347,2026-03-24,69.15,Recurring Deposit,Invest,0.0
116,1341,2026-04-23,203.85,Recurring Deposit,Invest,0.0
117,1325,2025-07-03,0.87,Round-Up,Banking,0.13
118,1103,2026-02-16,0.1,Round-Up,Invest,0.9
119,1247,2026-02-25,179.1,One-Time Deposit,Banking,0.0
120,1348,2026-03-14,0.66,Round-Up,Invest,0.34
121,1440,2026-01-12,242.82,One-Time Deposit,Banking,0.0
122,1121,2025-11-17,2.54,Round-Up,Invest,0.46
123,1031,2026-04-16,119.16,Recurring Deposit,Invest,0.0
124,1398,2026-04-19,137.99,Recurring Deposit,Banking,0.0
125,1449,2026-01-04,203.09,One-Time Deposit,Banking,0.0
126,1429,2026-03-23,1.51,Round-Up,Banking,0.49
127,1363,2026-02-02,2.67,Round-Up,Invest,0.33
128,1200,2026-03-09,243.0,Recurring Deposit,Banking,0.0
129,1216,2025-07-15,156.51,One-Time Deposit,Invest,0.0
130,1036,2025-09-24,2.75,Round-Up,Banking,0.25
131,1304,2026-01-25,1.17,Round-Up,Banking,0.83
132,1298,2026-01-01,1.52,Round-Up,Invest,0.48
133,1428,2026-04-01,8.39,Recurring Deposit,Banking,0.0
134,1217,2026-01-08,1.99,Round-Up,Banking,0.01
135,1319,2025-06-05,187.01,One-Time Deposit,Banking,0.0
136,1442,2025-11-26,127.27,One-Time Deposit,Banking,0.0
137,1249,2025-12-20,196.01,One-Time Deposit,Banking,0.0
138,1494,2026-02-01,115.47,Recurring Deposit,Invest,0.0
139,1373,2025-08-24,245.91,Recurring Deposit,Banking,0.0
