User_ID,Signup_Date,Acquisition_Channel,Account_Type,State,Age_Group
1001,2026-04-01,Organic,Both,AZ,25-34
1002,2025-06-27,Email,Banking,FL,25-34
1003,2026-03-17,Paid Social,Banking,NY,35-44
1004,2026-01-18,Referral,Banking,AZ,25-34
1005,2025-12-16,Organic,Both,OH,55+
1006,2025-05-28,Paid Social,Invest,NY,35-44
1007,2025-08-02,Email,Banking,IL,18-24
1008,2026-04-18,Organic,Banking,CO,45-54
1009,2025-12-31,App Store,Both,OH,25-34
1010,2026-04-20,Organic,Both,IL,45-54
1011,2025-07-09,Organic,Banking,NY,45-54
1012,2025-09-07,Organic,Banking,FL,35-44
1013,2025-08-12,Paid Social,Both,WA,45-54
1014,2025-08-10,Referral,Invest,IL,35-44
1015,2025-08-27,Referral,Invest,FL,25-34
1016,2025-09-07,Paid Social,Invest,TX,35-44
1017,2025-11-26,App Store,Banking,FL,35-44
1018,2025-08-17,Organic,Invest,WA,35-44
1019,2025-09-28,App Store,Invest,NY,35-44
1020,2026-01-11,Organic,Banking,GA,25-34
1021,2025-06-17,Paid Social,Both,AZ,25-34
1022,2026-02-14,Organic,Banking,OH,25-34
1023,2026-04-21,Paid Social,Banking,TX,25-34
1024,2026-01-19,Email,Invest,OH,18-24
1025,2026-03-08,Referral,Banking,NY,18-24
1026,2025-10-10,Paid Social,Both,IL,18-24
1027,2025-07-22,Paid Social,Invest,OH,45-54
1028,2026-01-28,App Store,Banking,WA,18-24
1029,2026-03-09,Organic,Invest,OH,25-34
1030,2025-08-06,Referral,Invest,FL,18-24
1031,2026-04-05,Paid Social,Invest,TX,45-54
1032,2025-10-16,Organic,Invest,IL,18-24
1033,2026-02-12,Organic,Invest,TX,45-54
1034,2026-03-31,Paid Social,Banking,TX,45-54
1035,2025-10-08,Paid Social,Banking,CO,18-24
1036,2025-07-12,Organic,Banking,AZ,18-24
1037,2026-03-12,Email,Banking,NY,45-54
1038,2025-12-20,Organic,Invest,OH,18-24
1039,2025-12-10,Referral,Banking,FL,35-44
1040,2026-04-13,Organic,Both,IL,18-24
1041,2025-10-09,Organic,Invest,AZ,18-24
1042,2025-08-02,Organic,Both,GA,35-44
1043,2025-11-10,Organic,Both,NY,25-34
1044,2026-02-03,Organic,Invest,IL,18-24
1045,2025-07-11,App Store,Banking,WA,18-24
1046,2026-01-05,Referral,Invest,TX,18-24
1047,2026-04-03,Organic,Both,CA,18-24
1048,2025-11-22,Paid Social,Banking,GA,45-54
1049,2025-09-17,Paid Social,Banking,NY,18-24
1050,2025-11-25,Organic,Both,TX,25-34
1051,2025-07-09,Referral,Both,FL,45-54
1052,2026-01-26,Email,Banking,AZ,18-24
1053,2025-09-07,Organic,Invest,FL,25-34
1054,2026-02-15,Email,Both,NY,25-34
1055,2025-11-24,Paid Social,Banking,GA,35-44
1056,2025-05-25,Paid Social,Both,AZ,25-34
1057,2026-01-02,Email,Invest,AZ,45-54
1058,2025-07-14,App Store,Banking,TX,18-24
1059,2026-02-06,Email,Banking,NY,35-44
1060,2025-08-09,Organic,Both,TX,35-44
1061,2025-06-17,App Store,Invest,CA,45-54
1062,2026-02-28,Organic,Invest,AZ,18-24
1063,2025-05-05,Paid Social,Banking,NY,35-44
1064,2025-08-14,Email,Banking,NY,18-24
1065,2026-02-11,Referral,Banking,GA,18-24
1066,2025-05-24,Organic,Both,NY,35-44
1067,2025-12-30,App Store,Banking,FL,25-34
1068,2025-08-15,Email,Both,NY,35-44
1069,2025-12-20,Organic,Invest,NY,18-24
1070,2026-02-23,Paid Social,Invest,NY,18-24
1071,2025-07-04,App Store,Invest,GA,35-44
1072,2025-12-22,App Store,Banking,WA,55+
1073,2025-07-09,Referral,Invest,CA,45-54
1074,2025-07-23,Organic,Invest,WA,18-24
1075,2025-08-10,Paid Social,Invest,IL,45-54
1076,2025-12-26,Paid Social,Invest,WA,25-34
1077,2025-06-10,App Store,Both,FL,25-34
1078,2025-07-18,Paid Social,Banking,WA,18-24
1079,2025-12-08,Referral,Both,OH,18-24
1080,2025-07-05,Paid Social,Invest,NY,25-34
1081,2025-12-02,Organic,Banking,NY,25-34
1082,2025-07-08,Organic,Banking,WA,45-54
1083,2025-06-25,Paid Social,Banking,WA,25-34
1084,2025-08-21,Organic,Banking,WA,25-34
1085,2025-09-25,Organic,Invest,TX,25-34
1086,2025-09-25,Organic,Invest,IL,25-34
1087,2025-06-16,Paid Social,Both,AZ,45-54
1088,2026-03-02,Email,Both,NY,25-34
1089,2025-12-16,Organic,Banking,TX,55+
1090,2025-07-30,Organic,Banking,GA,35-44
1091,2025-10-15,Organic,Invest,CA,18-24
1092,2026-02-23,Referral,Banking,OH,18-24
1093,2025-07-23,Organic,Banking,OH,35-44
1094,2026-04-14,Email,Banking,CA,18-24
1095,2026-02-12,Organic,Banking,WA,25-34
1096,2025-09-09,Paid Social,Both,NY,25-34
1097,2026-04-24,Organic,Banking,NY,35-44
1098,2026-04-05,Paid Social,Banking,WA,35-44
1099,2026-01-05,Paid Social,Banking,CA,55+
1100,2025-10-16,Email,Both,TX,25-34
1101,2025-06-06,Referral,Both,IL,18-24
1102,2025-11-16,Organic,Banking,FL,55+
1103,2026-01-18,Paid Social,Invest,TX,25-34
1104,2025-08-27,Paid Social,Invest,WA,45-54
1105,2025-05-10,Email,Invest,GA,18-24
1106,2026-02-06,Referral,Invest,CA,25-34
1107,2025-05-29,Referral,Both,IL,35-44
1108,2026-03-20,Organic,Both,OH,18-24
1109,2025-12-30,Email,Both,OH,18-24
1110,2026-04-20,Organic,Invest,IL,55+
1111,2025-09-14,Referral,Banking,CO,35-44
1112,2025-09-18,Email,Banking,AZ,55+
1113,2026-04-02,Paid Social,Both,NY,18-24
1114,2026-03-01,Organic,Banking,OH,18-24
1115,2025-11-10,Paid Social,Banking,NY,35-44
1116,2026-02-02,Paid Social,Invest,CA,25-34
1117,2026-03-19,Paid Social,Both,GA,25-34
1118,2025-05-18,App Store,Banking,FL,45-54
1119,2025-06-05,Paid Social,Invest,TX,55+
1120,2025-09-23,Organic,Banking,OH,18-24
1121,2025-10-04,Email,Invest,CO,35-44
1122,2026-04-09,Organic,Banking,GA,35-44
1123,2025-11-04,Referral,Invest,WA,25-34
1124,2026-01-25,Organic,Invest,CA,45-54
1125,2026-02-04,Paid Social,Banking,CO,35-44
1126,2026-01-10,Organic,Invest,IL,45-54
1127,2025-06-26,Organic,Invest,NY,35-44
1128,2025-08-05,Organic,Banking,NY,25-34
1129,2025-08-19,Organic,Invest,CO,45-54
1130,2026-01-04,Referral,Invest,TX,55+
1131,2025-09-24,Organic,Both,AZ,45-54
1132,2025-12-16,Organic,Both,NY,25-34
1133,2026-01-06,Paid Social,Invest,IL,25-34
1134,2026-03-23,Referral,Banking,WA,25-34
1135,2026-03-22,Organic,Banking,FL,55+
1136,2026-03-19,Organic,Banking,NY,35-44
1137,2026-04-08,Referral,Banking,CO,25-34
1138,2026-01-09,Email,Invest,IL,25-34
1139,2026-04-07,Paid Social,Invest,AZ,25-34
1140,2025-06-12,Paid Social,Banking,GA,18-24
1141,2026-01-29,Email,Banking,IL,25-34
1142,2025-06-05,App Store,Banking,IL,25-34
1143,2025-07-25,Organic,Banking,AZ,35-44
1144,2025-12-02,Paid Social,Both,TX,45-54
1145,2025-09-12,Referral,Both,IL,25-34
1146,2026-04-28,Paid Social,Banking,GA,45-54
1147,2025-12-01,Referral,Banking,TX,18-24
1148,2025-06-25,Referral,Both,AZ,25-34
1149,2026-02-22,App Store,Invest,GA,35-44
1150,2025-10-16,Referral,Invest,IL,55+
1151,2026-01-15,Organic,Invest,AZ,25-34
1152,2026-02-16,Organic,Both,GA,35-44
1153,2025-08-27,Referral,Both,CA,18-24
1154,2025-10-17,Referral,Both,OH,55+
1155,2026-01-31,Paid Social,Both,IL,55+
1156,2025-10-03,Referral,Invest,AZ,18-24
1157,2026-03-26,Organic,Invest,AZ,25-34
1158,2026-03-22,Paid Social,Banking,IL,25-34
1159,2026-04-24,Organic,Banking,OH,25-34
1160,2025-09-22,Paid Social,Banking,WA,45-54
1161,2025-11-18,Paid Social,Invest,AZ,25-34
1162,2025-08-25,Paid Social,Invest,NY,55+
