cohort_month,total_users,churned_users,retained_users,churn_rate_pct,explicit_churners,silent_churners,explicit_churn_rate_pct,silent_churn_rate_pct
2025-05-01,41,12.0,29.0,29.3,2.0,10.0,4.9,24.4
2025-06-01,40,9.0,31.0,22.5,3.0,6.0,7.5,15.0
2025-07-01,44,13.0,31.0,29.5,3.0,10.0,6.8,22.7
2025-08-01,42,9.0,33.0,21.4,4.0,5.0,9.5,11.9
2025-09-01,34,3.0,31.0,8.8,3.0,0.0,8.8,0.0
2025-10-01,37,2.0,35.0,5.4,0.0,2.0,0.0,5.4
2025-11-01,31,3.0,28.0,9.7,0.0,3.0,0.0,9.7
2025-12-01,49,1.0,48.0,2.0,0.0,1.0,0.0,2.0
2026-01-01,44,0.0,44.0,0.0,0.0,0.0,0.0,0.0
2026-02-01,40,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,42,0.0,42.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,52,0.0,52.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0
