cohort_month,status,users,churn_rate_pct
2025-05-01,Retained,29.0,29.3
2025-05-01,Churned,12.0,29.3
2025-06-01,Retained,31.0,22.5
2025-06-01,Churned,9.0,22.5
2025-07-01,Retained,31.0,29.5
2025-07-01,Churned,13.0,29.5
2025-08-01,Retained,33.0,21.4
2025-08-01,Churned,9.0,21.4
2025-09-01,Retained,31.0,8.8
2025-09-01,Churned,3.0,8.8
2025-10-01,Retained,35.0,5.4
2025-10-01,Churned,2.0,5.4
2025-11-01,Retained,28.0,9.7
2025-11-01,Churned,3.0,9.7
2025-12-01,Retained,48.0,2.0
2025-12-01,Churned,1.0,2.0
2026-01-01,Retained,44.0,0.0
2026-01-01,Churned,0.0,0.0
2026-02-01,Retained,40.0,0.0
2026-02-01,Churned,0.0,0.0
2026-03-01,Retained,42.0,0.0
2026-03-01,Churned,0.0,0.0
2026-04-01,Retained,52.0,0.0
2026-04-01,Churned,0.0,0.0
2026-05-01,Retained,4.0,0.0
2026-05-01,Churned,0.0,0.0
