transaction_month,product,transaction_type,transaction_count,total_deposited,total_withdrawn,total_round_ups,net_flow
2025-05-01,Banking,One-Time Deposit,5,538.41,0.0,0.0,538.41
2025-05-01,Banking,Recurring Deposit,9,1412.62,0.0,0.0,1412.62
2025-05-01,Banking,Round-Up,18,28.51,0.0,8.49,28.51
2025-05-01,Banking,Withdrawal,1,0.0,100.28,0.0,-100.28
2025-05-01,Invest,One-Time Deposit,2,221.15,0.0,0.0,221.15
2025-05-01,Invest,Recurring Deposit,2,371.62,0.0,0.0,371.62
2025-05-01,Invest,Round-Up,5,9.72,0.0,3.28,9.72
2025-05-01,Invest,Withdrawal,2,0.0,239.76,0.0,-239.76
2025-06-01,Banking,One-Time Deposit,17,1923.39,0.0,0.0,1923.39
2025-06-01,Banking,Recurring Deposit,11,1328.58,0.0,0.0,1328.58
2025-06-01,Banking,Round-Up,29,41.25,0.0,13.75,41.25
2025-06-01,Banking,Withdrawal,8,0.0,1094.18,0.0,-1094.18
2025-06-01,Invest,One-Time Deposit,12,1584.55,0.0,0.0,1584.55
2025-06-01,Invest,Recurring Deposit,13,966.13,0.0,0.0,966.13
2025-06-01,Invest,Round-Up,25,38.81,0.0,12.19,38.81
2025-06-01,Invest,Withdrawal,4,0.0,362.84,0.0,-362.84
2025-07-01,Banking,One-Time Deposit,25,2655.74,0.0,0.0,2655.74
2025-07-01,Banking,Recurring Deposit,34,5230.82,0.0,0.0,5230.82
2025-07-01,Banking,Round-Up,65,86.86,0.0,34.14,86.86
2025-07-01,Banking,Withdrawal,14,0.0,1345.56,0.0,-1345.56
2025-07-01,Invest,One-Time Deposit,22,2765.15,0.0,0.0,2765.15
2025-07-01,Invest,Recurring Deposit,33,4381.55,0.0,0.0,4381.55
2025-07-01,Invest,Round-Up,57,92.01,0.0,26.99,92.01
2025-07-01,Invest,Withdrawal,8,0.0,1124.21,0.0,-1124.21
2025-08-01,Banking,One-Time Deposit,30,3282.34,0.0,0.0,3282.34
2025-08-01,Banking,Recurring Deposit,51,6061.12,0.0,0.0,6061.12
2025-08-01,Banking,Round-Up,85,148.52,0.0,40.48,148.52
2025-08-01,Banking,Withdrawal,12,0.0,1088.78,0.0,-1088.78
2025-08-01,Invest,One-Time Deposit,27,3229.11,0.0,0.0,3229.11
2025-08-01,Invest,Recurring Deposit,26,3281.25,0.0,0.0,3281.25
2025-08-01,Invest,Round-Up,67,107.07,0.0,29.93,107.07
2025-08-01,Invest,Withdrawal,16,0.0,2211.67,0.0,-2211.67
2025-09-01,Banking,One-Time Deposit,56,6241.15,0.0,0.0,6241.15
2025-09-01,Banking,Recurring Deposit,44,5356.32,0.0,0.0,5356.32
2025-09-01,Banking,Round-Up,102,153.88,0.0,50.12,153.88
